CountryName,CountryCode,Date,S1_School closing,S1_IsGeneral,S2_Workplace closing,S2_IsGeneral,S3_Cancel public events,S3_IsGeneral,S4_Close public transport,S4_IsGeneral,S5_Public information campaigns,S5_IsGeneral,S6_Restrictions on internal movement,S6_IsGeneral,S7_International travel controls,S8_Fiscal measures,S9_Monetary measures,S10_Emergency investment in health care,S11_Investment in Vaccines,S12_Testing framework,S13_Contact tracing,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,
Aruba,ABW,20200101,0,,0,,0,,0,,0,,0,,0,0.00,0.00,0.00,0.00,0,0,,,0.00,0.00,	
Aruba,ABW,20200102,0,,0,,0,,0,,0,,0,,0,0.00,0.00,0.00,0.00,0,0,,,0.00,0.00,	
Aruba,ABW,20200103,0,,0,,0,,0,,0,,0,,0,0.00,0.00,0.00,0.00,0,0,,,0.00,0.00,	
Aruba,ABW,20200104,0,,0,,0,,0,,0,,0,,0,0.00,0.00,0.00,0.00,0,0,,,0.00,0.00,	
Aruba,ABW,20200105,0,,0,,0,,0,,0,,0,,0,0.00,0.00,0.00,0.00,0,0,,,0.00,0.00,	
Aruba,ABW,20200106,0,,0,,0,,0,,0,,0,,0,0.00,0.00,0.00,0.00,0,0,,,0.00,0.00,	
Aruba,ABW,20200107,0,,0,,0,,0,,0,,0,,0,0.00,0.00,0.00,0.00,0,0,,,0.00,0.00,	
Aruba,ABW,20200108,0,,0,,0,,0,,0,,0,,0,0.00,0.00,0.00,0.00,0,0,,,0.00,0.00,	
Aruba,ABW,20200109,0,,0,,0,,0,,0,,0,,0,0.00,0.00,0.00,0.00,0,0,,,0.00,0.00,	
Aruba,ABW,20200110,0,,0,,0,,0,,0,,0,,0,0.00,0.00,0.00,0.00,0,0,,,0.00,0.00,	
Aruba,ABW,20200111,0,,0,,0,,0,,0,,0,,0,0.00,0.00,0.00,0.00,0,0,,,0.00,0.00,	
Aruba,ABW,20200112,0,,0,,0,,0,,0,,0,,0,0.00,0.00,0.00,0.00,0,0,,,0.00,0.00,	
Aruba,ABW,20200113,0,,0,,0,,0,,0,,0,,0,0.00,0.00,0.00,0.00,0,0,,,0.00,0.00,	
Aruba,ABW,20200114,0,,0,,0,,0,,0,,0,,0,0.00,0.00,0.00,0.00,0,0,,,0.00,0.00,	
