CountryName,CountryCode,Date,PolicyType,PolicyValue,Flag,Notes
Canada,CAN,20200122,C8: International travel controls,1,,"Federal government implements some enhanced border controls https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection.html ........ addition from Joanna Klimczak: ""messaging will appear on arrivals screens at the Toronto, Montreal and Vancouver airports reminding travellers from Wuhan to tell a border service officer if they have flu-like symptoms. A health screening question will also be added to electronic kiosks"" https://vancouversun.com/news/local-news/b-c-health-officials-still-have-a-lot-to-learn-about-new-china-coronavirus/"
Canada,CAN,20200125,H2: Testing policy,1,,"First date of testing unknown - first positive case confirmed on this date  https://web.archive.org/web/20200610141415/https://www.canada.ca/en/public-health/news/2020/01/statement-by-the-minister-of-health-on-the-first-presumptive-confirmed-traveled-related-case-of-new-coronavirus-in-canada.html"
Canada,CAN,20200308,H8: Protection of elderly people,0,,"On 8 March, a resident of a long-term care home in Vancouver, British Columbia is the first recorded death in Canada due to covid-19. See Toronto Star newspaper article, archived:  https://web.archive.org/web/20201212121719/https://www.thestar.com/news/canada/2020/03/09/covid-19-blamed-for-first-death-in-canada-as-resident-of-bc-long-term-care-home-dies.html"
Canada,CAN,20200309,H2: Testing policy,2,,"Date of extended testing also unknown, however, while not all were tested, the policy was extended with the addition of ""assessment centres"" which are meant for all those showing symptoms  Sources: https://web.archive.org/web/20200618102555/https://montrealgazette.com/news/local-news/quebec-ramps-up-covid-19-testing-with-goal-to-do-12000-a-day/"
Canada,CAN,20200311,H1: Public information campaigns,2,1,"PM Justin Trudeau announces 50m CAD announced for Public Health Agency of Canada's public information campaign: https://web.archive.org/web/20200501022423/https://pm.gc.ca/en/news/news-releases/2020/03/11/prime-minister-outlines-canadas-covid-19-response"
Canada,CAN,20200312,C1: School closing,0,,"School closure announcement (policy was effective on March 16) http://web.archive.org/web/20200617075142/https://globalnews.ca/news/6668240/coronavirus-ontario-schools-closed/ "
Canada,CAN,20200312,C3: Cancel public events,2,0,"Alberta and BC both direct events over 250 people to be cancelled  https://web.archive.org/web/20200523183913/https://www.cbc.ca/news/canada/edmonton/alberta-covid-coronavirus-1.5496924"
Canada,CAN,20200313,C8: International travel controls,1,," ""Canada advises Canadians to avoid all non-essential travel outside of Canada until further notice"", no additional policy implemented yet https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection.html"
Canada,CAN,20200313,H8: Protection of elderly people,1,0,"On 13 March, the Province of Ontario’s Chief Medical Officer “strongly recommend(s) that (long-term care homes) only allow essential visitors until further notice … (to) a resident who is dying or very ill”. See Province of Ontario website, archived:  https://web.archive.org/web/20201212122931/http://www.health.gov.on.ca/en/pro/programs/publichealth/coronavirus/docs/memos/CMOH_Memo_-_Visitors_COVID-19_March_13_2020.pdf"
Canada,CAN,20200314,C6: Stay at home requirements,1,0,"  Quebec Premier François Legault advises 'all people who are above the age of 70 to avoid leaving their homes unless absolutely necessary'.       https://web.archive.org/web/20200518131128/https://www.cbc.ca/news/canada/montreal/covid-19-march14-1.5497961  "
Canada,CAN,20200314,H8: Protection of elderly people,2,0,"On 14 March, the Province of Quebec bans visitors to long-term care homes and seniors’ residences. See Global News website, archived:  https://web.archive.org/web/20201214182646/https://globalnews.ca/news/6677307/quebec-coronavirus-march14/  "
Canada,CAN,20200315,E1: Income support,2,1,"The Canada Emergency Wage Subsidy (CEWS) supports employers that are hardest hit by the pandemic, and protect the jobs Canadians depend on. The subsidy generally covers 75% of an employee's wages – up to $847 per week - for employers of all sizes and across all sectors who have suffered a drop in gross revenues of at least 15% in March, and 30% in April and May. The program will be in place for a 12-week period, from March 15 to June 6, 2020.  Also, the Canadian government will provide a taxable benefit of $2,000 every 4 weeks for up to 16 weeks to eligible workers who have lost their income due to COVID-19 under the Canadian Emergency Response Benefit.  https://web.archive.org/web/20200318220215/https://www.canada.ca/en/department-finance/economic-response-plan.html Then go to businesses"
