,,01jan2020,02jan2020,03jan2020,04jan2020,05jan2020,06jan2020,07jan2020,08jan2020,09jan2020,10jan2020,11jan2020,12jan2020,13jan2020,14jan2020,15jan2020,16jan2020,17jan2020,18jan2020,19jan2020,20jan2020,21jan2020,22jan2020,23jan2020,24jan2020,25jan2020,26jan2020,27jan2020,28jan2020,29jan2020,30jan2020,31jan2020,01feb2020,02feb2020,03feb2020,04feb2020,05feb2020,06feb2020,07feb2020,08feb2020,09feb2020,10feb2020,11feb2020,12feb2020,13feb2020,14feb2020,15feb2020,16feb2020,17feb2020,18feb2020,19feb2020,20feb2020,21feb2020,22feb2020,23feb2020,24feb2020,25feb2020,26feb2020,27feb2020,28feb2020,29feb2020,01mar2020,02mar2020,03mar2020,04mar2020,05mar2020,06mar2020,07mar2020,08mar2020,09mar2020,10mar2020,11mar2020,12mar2020,13mar2020,14mar2020,15mar2020,16mar2020,17mar2020,18mar2020,19mar2020,20mar2020,21mar2020,22mar2020,23mar2020,24mar2020,25mar2020,26mar2020,27mar2020,28mar2020,29mar2020,30mar2020,31mar2020,01apr2020,02apr2020,03apr2020,04apr2020,05apr2020,06apr2020,07apr2020,08apr2020,09apr2020,10apr2020,11apr2020,12apr2020,13apr2020,14apr2020,15apr2020,16apr2020,17apr2020,18apr2020,19apr2020,20apr2020,21apr2020,22apr2020,23apr2020,24apr2020,25apr2020,26apr2020,27apr2020,28apr2020,29apr2020,30apr2020,01may2020,02may2020,03may2020,04may2020,05may2020,06may2020,07may2020,08may2020,09may2020,10may2020,11may2020,12may2020,13may2020,14may2020,15may2020,16may2020,17may2020,18may2020,19may2020
Aruba,ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.329999924,19.44000053,19.44000053,30.55999947,30.55999947,30.55999947,44.84000015,44.84000015,44.84000015,44.84000015,44.84000015,44.84000015,44.84000015,44.84000015,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,86.11000061,83.45999908,86.11000061,86.11000061,83.45999908,83.45999908,83.45999908,83.45999908,86.23999786,86.23999786,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,83.45999908,94.58000183,94.58000183,91.93000031,91.93000031,91.93000031,.,.,.,.,.,.,.,91.93000031,91.93000031,91.93000031,91.93000031,91.93000031,91.93000031
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.04999924,21.82999992,21.82999992,21.82999992,21.82999992,21.82999992,21.82999992,21.82999992,21.82999992,21.82999992,21.82999992,21.82999992,21.82999992,32.93999863,32.93999863,32.93999863,32.93999863,36.11000061,36.11000061,36.11000061,36.11000061,36.11000061,36.11000061,44.04999924,53.31000137,53.31000137,53.31000137,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,72.36000061,72.36000061,72.36000061,72.36000061,72.36000061,72.36000061,72.36000061,76.33000183,76.33000183,76.33000183,76.33000183,76.33000183,76.33000183,76.33000183,76.33000183,76.33000183,76.33000183,76.33000183,76.33000183,76.33000183,76.33000183,76.33000183,76.33000183,76.33000183,76.33000183,76.33000183,73.55999756,.,.,.,.,.,.,.,.,.,.,.,.,73.55999756,73.55999756,73.55999756,73.55999756,.,.
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,5.559999943,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,11.10999966,11.10999966,11.10999966,11.10999966,37.02999878,42.31999969,42.31999969,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,.,.
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,39.41999817,50.52999878,53.31000137,53.31000137,80.81999969,80.81999969,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,84.38999939,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,88.36000061,.,.,.,88.36000061,88.36000061,88.36000061,88.36000061,.,.
Andorra,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.96000004,24.06999969,24.06999969,35.18000031,35.18000031,35.18000031,35.18000031,35.18000031,35.18000031,35.18000031,35.18000031,35.18000031,53.43000031,53.43000031,53.43000031,53.43000031,53.43000031,53.43000031,53.43000031,53.43000031,53.43000031,53.43000031,53.43000031,53.43000031,53.43000031,53.43000031,61.77000046,61.77000046,61.77000046,61.77000046,61.77000046,61.77000046,61.77000046,61.77000046,61.77000046,61.77000046,61.77000046,61.77000046,59.11999893,59.11999893,59.11999893,59.11999893,59.11999893,59.11999893,59.11999893,59.11999893,59.11999893,59.11999893,59.11999893,59.11999893,59.11999893,59.11999893,59.11999893,59.11999893,59.11999893,59.11999893,59.11999893,.,.,.,.,.,59.11999893,59.11999893,59.11999893,59.11999893,.,.
United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,8.329999924,16.27000046,16.27000046,16.27000046,16.27000046,16.27000046,16.27000046,16.27000046,22.09000015,22.09000015,22.09000015,33.20000076,33.20000076,33.20000076,33.20000076,40.34000015,44.31000137,44.31000137,44.31000137,44.31000137,44.31000137,44.31000137,44.31000137,63.88999939,63.88999939,72.48000336,76.44999695,87.56999969,87.56999969,87.56999969,87.56999969,87.56999969,87.56999969,87.56999969,87.56999969,91.54000092,91.54000092,91.54000092,91.54000092,91.54000092,91.54000092,91.54000092,91.54000092,91.54000092,91.54000092,91.54000092,91.54000092,91.54000092,90.73999786,90.73999786,90.73999786,90.73999786,90.73999786,90.73999786,90.73999786,90.73999786,90.73999786,90.73999786,90.73999786,90.73999786,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,86.76999664,83.59999847,77.77999878,77.77999878,77.77999878,77.77999878,77.77999878
Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,24.61000061,24.61000061,24.61000061,24.61000061,24.61000061,41.27000046,41.27000046,41.27000046,77.77999878,88.88999939,88.88999939,88.88999939,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,87.56999969,87.56999969,87.56999969,87.56999969,87.56999969,87.56999969,87.56999969,87.56999969,87.56999969,87.56999969,87.56999969,87.56999969,87.56999969,87.56999969,91.54000092,91.54000092,91.54000092,91.54000092,91.54000092,91.54000092,91.54000092,.,.
Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.940000057,7.940000057,7.940000057,7.940000057,7.940000057,7.940000057,7.940000057,16.27000046,16.27000046,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,30.55999947,30.55999947,34.52999878,42.47000122,45.24000168,45.24000168,45.24000168,50.54000092,63.11000061,63.11000061,63.11000061,63.11000061,63.11000061,71.44000244,71.44000244,71.44000244,71.44000244,70.91000366,70.91000366,70.91000366,70.91000366,70.91000366,70.91000366,70.91000366,70.91000366,70.91000366,70.91000366,70.91000366,70.91000366,70.91000366,70.91000366,70.91000366,70.91000366,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,.,.
Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,16.93000031,16.93000031,16.93000031,25.26000023,25.26000023,36.36999893,42.18999863,57.27000046,57.27000046,57.27000046,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,84.79000092,77.65000153,77.65000153,77.65000153,77.65000153,77.65000153,72.22000122,72.22000122,72.22000122,72.22000122,72.22000122,71.41999817,71.41999817,71.41999817,71.41999817,71.41999817,71.41999817,71.41999817,71.41999817,65.61000061,63.61999893,63.61999893,60.97000122,60.97000122,60.97000122,60.97000122,58.99000168,58.99000168,58.99000168,58.99000168,58.99000168,58.99000168,58.99000168,58.99000168,58.99000168,58.99000168,58.99000168,58.99000168
Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,13.89000034,13.89000034,19.44000053,19.44000053,19.44000053,30.55999947,30.55999947,30.55999947,30.55999947,30.55999947,30.55999947,30.55999947,37.70000076,37.70000076,37.70000076,37.70000076,52.77999878,52.77999878,52.77999878,52.77999878,52.77999878,60.72000122,60.72000122,60.72000122,60.72000122,69.18000031,69.18000031,69.18000031,69.18000031,69.18000031,69.18000031,69.18000031,69.18000031,90.08000183,90.08000183,90.08000183,90.08000183,90.08000183,90.08000183,90.08000183,90.08000183,90.08000183,90.08000183,90.08000183,90.08000183,90.08000183,90.08000183,90.08000183,90.08000183,92.86000061,92.86000061,92.86000061,92.86000061,92.86000061,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,.,.,.,.,.,.,.,.,.,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786
