,,01jan2020,02jan2020,03jan2020,04jan2020,05jan2020,06jan2020,07jan2020,08jan2020,09jan2020,10jan2020,11jan2020,12jan2020,13jan2020,14jan2020,15jan2020,16jan2020,17jan2020,18jan2020,19jan2020,20jan2020,21jan2020,22jan2020,23jan2020,24jan2020,25jan2020,26jan2020,27jan2020,28jan2020,29jan2020,30jan2020,31jan2020,01feb2020,02feb2020,03feb2020,04feb2020,05feb2020,06feb2020,07feb2020,08feb2020,09feb2020,10feb2020,11feb2020,12feb2020,13feb2020,14feb2020,15feb2020,16feb2020,17feb2020,18feb2020,19feb2020,20feb2020,21feb2020,22feb2020,23feb2020,24feb2020,25feb2020,26feb2020,27feb2020,28feb2020,29feb2020,01mar2020,02mar2020,03mar2020,04mar2020,05mar2020,06mar2020,07mar2020,08mar2020,09mar2020,10mar2020,11mar2020,12mar2020,13mar2020,14mar2020,15mar2020,16mar2020,17mar2020,18mar2020,19mar2020,20mar2020,21mar2020,22mar2020,23mar2020,24mar2020,25mar2020,26mar2020,27mar2020,28mar2020,29mar2020,30mar2020,31mar2020,01apr2020,02apr2020,03apr2020,04apr2020,05apr2020,06apr2020,07apr2020,08apr2020,09apr2020,10apr2020,11apr2020,12apr2020,13apr2020,14apr2020,15apr2020,16apr2020,17apr2020,18apr2020,19apr2020,20apr2020,21apr2020,22apr2020,23apr2020,24apr2020,25apr2020,26apr2020,27apr2020,28apr2020,29apr2020,30apr2020,01may2020,02may2020,03may2020,04may2020,05may2020,06may2020,07may2020,08may2020,09may2020,10may2020,11may2020
Aruba,ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.569999695,22.86000061,22.86000061,37.13999939,37.13999939,37.13999939,55,55,55,55,55,55,55,55,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,82.86000061,82.86000061,80,80,80,80,80,80,80,80,80,80,80,80,94.29000092,94.29000092,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.80999947,26.67000008,26.67000008,26.67000008,26.67000008,26.67000008,26.67000008,26.67000008,26.67000008,26.67000008,26.67000008,26.67000008,26.67000008,40.95000076,40.95000076,40.95000076,40.95000076,45.70999908,45.70999908,45.70999908,45.70999908,45.70999908,45.70999908,56.43000031,63.56999969,63.56999969,63.56999969,73.09999847,73.09999847,73.09999847,73.09999847,73.09999847,73.09999847,73.09999847,73.09999847,73.09999847,73.09999847,73.09999847,73.09999847,73.09999847,73.09999847,73.09999847,75.48000336,75.48000336,75.48000336,75.48000336,75.48000336,75.48000336,75.48000336,75.48000336,75.48000336,75.48000336,75.48000336,75.48000336,75.48000336,75.48000336,75.48000336,75.48000336,75.48000336,75.48000336,75.48000336,72.62000275,.,.,.,.,72.62000275,72.62000275,72.62000275,72.62000275,72.62000275,72.62000275
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,11.43000031,11.43000031,11.43000031,11.43000031,43.81000137,50.95000076,50.95000076,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,35.70999908,50,55.70999908,55.70999908,79.51999664,79.51999664,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786
Andorra,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67000008,30.95000076,30.95000076,45.24000168,45.24000168,45.24000168,45.24000168,45.24000168,45.24000168,45.24000168,45.24000168,45.24000168,69.05000305,69.05000305,69.05000305,69.05000305,69.05000305,69.05000305,69.05000305,69.05000305,69.05000305,69.05000305,69.05000305,69.05000305,69.05000305,69.05000305,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305,74.05000305
United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,8.569999695,19.29000092,19.29000092,19.29000092,19.29000092,19.29000092,19.29000092,19.29000092,26.43000031,26.43000031,26.43000031,40.70999908,40.70999908,40.70999908,40.70999908,50.24000168,55,55,55,55,55,55,55,69.29000092,69.29000092,79.29000092,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,84.05000305,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,.,.,.,.,.,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756
Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,29.52000046,29.52000046,29.52000046,29.52000046,29.52000046,49.52000046,49.52000046,49.52000046,82.86000061,82.86000061,82.86000061,82.86000061,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,82.86000061,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,82.86000061,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939
Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,18.10000038,18.10000038,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,31.43000031,31.43000031,32.38000107,41.90000153,44.75999832,44.75999832,44.75999832,51.90000153,62.61999893,62.61999893,62.61999893,62.61999893,62.61999893,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,67.37999725,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137
Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,21.43000031,21.43000031,21.43000031,30,30,44.29000092,51.43000031,63.33000183,63.33000183,63.33000183,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,75.23999786,75.23999786,75.23999786,75.23999786,75.23999786,68.80999756,68.80999756,68.80999756,68.80999756,68.80999756,68.80999756,68.80999756,68.80999756,68.80999756,68.80999756,68.80999756,68.80999756,68.80999756,68.80999756,68.80999756,68.80999756,65.23999786,65.23999786,65.23999786,65.23999786,65.23999786,65.23999786,65.23999786,65.23999786
Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,17.13999939,17.13999939,22.86000061,22.86000061,22.86000061,37.13999939,37.13999939,37.13999939,37.13999939,37.13999939,37.13999939,37.13999939,46.66999817,46.66999817,46.66999817,46.66999817,51.43000031,51.43000031,51.43000031,51.43000031,51.43000031,60.95000076,60.95000076,60.95000076,60.95000076,71.66999817,71.66999817,71.66999817,71.66999817,71.66999817,71.66999817,71.66999817,71.66999817,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,.,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061
